cluster,gene,score,avg_log2FC,p_val,p_val_adj,pct.1,pct.2
7,IGF2BP2,5.8675866,1.168,4.421839346181678e-09,3.419957746442272e-06,0.625,0.468
7,TRIM25,4.6103973,1.138,4.0190042029011895e-06,0.0016815908896827387,0.519,0.353
7,XPO1,4.549766,1.105,5.370562469825387e-06,0.002175759776465926,0.506,0.368
7,ENSG00000260971,3.7519462,1.096,0.00017546706340891173,0.03613168276849467,0.425,0.298
7,ZNF292,7.2438264,1.081,4.3620039451423903e-13,7.422095112791282e-10,0.806,0.666
7,ZNF91,6.6015882,1.065,4.067764399239485e-11,4.943883369609018e-08,0.744,0.615
7,CDYL,6.4138207,1.058,1.4191693098161977e-10,1.5092274289349506e-07,0.788,0.625
7,TPTEP1,3.457271,1.018,0.0005456755974579112,0.08704548921198917,0.412,0.315
7,INHBA,5.66478,1.008,1.4721314713131406e-08,1.0437003206201469e-05,0.706,0.564
7,YTHDC1,3.517718,0.996,0.00043527471261604113,0.07213971746817674,0.419,0.307
7,ENSG00000288714,6.7679687,0.957,1.306032512226056e-11,1.851881544974757e-08,0.869,0.761
7,EXPH5,6.5208607,0.948,6.990514304364946e-11,8.109949845013933e-08,0.875,0.766
7,AEBP2,4.9342556,0.941,8.045709938885875e-07,0.0004278138641045504,0.631,0.516
7,ENSG00000273167,3.4963312,0.938,0.00047170300324178826,0.0776727467854204,0.431,0.302
7,PAK1,4.1990952,0.928,2.6798379096027292e-05,0.008240663008047043,0.525,0.397
7,SLAIN2,3.5988932,0.924,0.00031957434219048877,0.05548636690971323,0.456,0.338
8,ARHGEF15,4.6092343,7.409,4.041549421771409e-06,0.00026862621326008244,0.218,0.002
8,EGFL7,16.705614,7.345,1.1929339215823961e-62,7.611813120136874e-59,0.795,0.024
8,FCGR2C,3.387027,7.288,0.0007065445276747863,0.02695536020903374,0.16,0.001
8,SHANK3,9.574615,7.004,1.0223814062047045e-21,3.479232084075023e-19,0.455,0.007
8,MEOX2,12.901754,6.955,4.3996310321959794e-38,5.614589141736899e-35,0.615,0.016
8,PCAT19,5.399171,6.763,6.694964724291479e-08,6.375954651421321e-06,0.256,0.003
8,ADCY4,4.9846315,6.687,6.208006701199344e-07,4.998326657246399e-05,0.237,0.004
